overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
61,66,28,23,23,25,25,23,27,25,45,21,25,25,24,52,36,25,21,28,58,23,20,32,38,36,32,23,22,22,0.307692308,0,0,0,0,0,0,0,0,1,0,0,0
65,67,67,66,50,64,63,64,69,71,66,66,67,66,65,61,57,74,65,65,55,70,56,32,62,67,64,27,22,21,0,0,0,0,0,0,0,0,0,0,1,0,0
69,72,69,61,52,72,63,67,71,67,73,73,73,70,73,69,69,66,71,67,71,67,61,57,63,71,62,52,56,54,0.3,1,0,0,0,0,0,0,0,0,0,0,0
65,67,43,43,62,60,48,48,38,33,58,59,63,64,58,66,75,76,65,82,71,67,82,70,68,65,64,61,65,65,0.346153846,0,0,0,0,0,0,1,0,0,0,0,0
65,65,39,36,69,53,38,49,39,36,57,52,49,52,40,46,43,44,72,56,81,36,56,64,52,29,45,65,67,65,0.3,0,0,0,0,0,0,0,0,0,0,0,1
76,77,68,74,58,75,71,80,81,80,69,82,74,70,73,70,77,74,54,56,70,81,62,32,75,72,74,33,23,48,0.4,0,0,0,0,1,0,0,0,0,0,0,0
73,76,74,72,61,73,64,74,61,65,69,73,74,75,70,75,70,76,75,80,71,64,66,60,70,71,64,34,47,46,0,0,0,0,0,0,0,0,1,0,0,0,0
62,62,51,64,61,68,61,61,41,33,45,62,61,71,52,55,62,72,56,72,65,48,61,25,63,57,67,25,21,25,0.25,0,1,0,0,0,0,0,0,0,0,0,0
73,76,73,68,66,74,70,74,71,72,70,75,73,75,75,61,62,83,67,70,68,81,49,47,71,78,73,50,43,32,0.261904762,0,0,0,0,0,0,0,1,0,0,0,0
69,70,20,19,18,21,17,19,17,16,26,19,37,41,31,63,45,25,72,36,63,19,46,27,19,35,26,20,19,18,0.409574468,0,0,0,0,0,0,0,0,0,0,1,0
64,64,59,67,59,68,43,59,59,45,65,65,60,62,65,58,74,57,62,66,55,64,66,61,65,65,71,57,60,58,0.351851852,0,0,0,0,0,0,0,0,1,0,0,0
65,65,66,66,61,71,69,65,70,71,70,66,64,70,73,61,75,61,74,36,55,70,48,61,64,70,77,61,63,50,0.363636364,0,0,1,0,0,0,0,0,0,0,0,0
68,70,45,37,76,50,39,40,41,46,45,46,39,42,42,67,43,63,55,54,77,44,69,68,31,41,45,70,74,65,0.382352941,0,0,0,0,0,0,0,1,0,0,0,0
