match_api_id,team_api_id,team_type,spread,status,fire,water,earth,air,Aries,Leo,Sagittarius,Cancer,Scopio,Pisces,Taurus,Virgo,Capricorn,Gemini,Libra,Aquarius,TeamGoal
665574,8203,home,3,lose,1,5,1,4,1,0,0,1,0,4,0,1,0,0,2,2,1
665575,9985,home,1,lose,3,1,5,2,1,1,1,1,0,0,2,2,1,1,0,1,1
665586,8635,home,1,win,2,4,1,4,2,0,0,2,0,2,1,0,0,1,1,2,1
665591,9984,home,2,lose,2,3,2,4,1,0,1,0,2,1,1,1,0,1,1,2,1
665603,9984,away,2,lose,2,6,2,1,2,0,0,1,3,2,1,1,0,0,1,0,1
665604,8342,away,1,win,4,2,3,2,3,0,1,0,0,2,1,1,1,1,1,0,1
665619,10000,home,1,win,1,2,5,3,0,1,0,0,0,2,1,3,1,1,1,1,1
665632,9991,away,1,win,2,6,1,2,0,1,1,1,1,4,0,1,0,0,0,2,1
665634,8203,home,1,win,2,3,2,4,1,0,1,1,0,2,1,1,0,1,3,0,1
665639,9984,home,1,lose,1,6,1,3,1,0,0,1,3,2,0,1,0,0,2,1,1
665653,10000,home,1,lose,2,2,5,2,1,1,0,0,0,2,2,3,0,0,1,1,1
665659,8571,away,3,lose,5,2,4,0,3,1,1,1,0,1,3,0,1,0,0,0,1
665672,9993,away,3,lose,4,4,2,1,3,1,0,1,2,1,0,0,2,0,0,1,1
665679,9994,away,3,lose,4,3,3,1,1,0,3,0,0,3,1,2,0,1,0,0,1
665686,8571,home,2,lose,2,3,5,1,1,0,1,1,1,1,3,1,1,0,0,1,1
665687,10001,away,1,win,4,3,2,2,1,2,1,2,0,1,1,0,1,1,0,1,1
665698,8635,away,1,lose,2,3,2,4,0,1,1,1,0,2,2,0,0,1,2,1,1
665699,9987,home,1,win,2,2,4,3,0,1,1,0,0,2,2,1,1,0,2,1,1
665704,8203,home,1,lose,1,5,2,3,1,0,0,1,0,4,1,1,0,2,1,0,1
665712,9985,home,1,win,2,3,4,2,1,1,0,2,0,1,2,1,1,1,0,1,1
665728,9985,home,1,lose,4,1,5,1,2,1,1,0,0,1,2,1,2,1,0,0,1
665730,9994,home,2,lose,3,3,3,2,2,0,1,0,0,3,1,1,1,1,0,1,1
665733,9984,home,2,lose,1,5,2,3,1,0,0,1,2,2,0,2,0,0,2,1,1
665739,9984,home,1,win,1,6,1,3,1,0,0,1,3,2,1,0,0,0,2,1,1
665753,9994,home,2,lose,4,2,4,1,2,0,2,0,0,2,1,2,1,0,0,1,1
665757,9984,home,1,lose,1,6,1,3,1,0,0,1,3,2,0,1,0,0,2,1,1
665767,9997,home,2,lose,6,2,1,2,2,0,4,0,0,2,0,0,1,1,0,1,1
665771,10000,home,1,lose,1,3,6,1,0,1,0,0,1,2,2,3,1,0,1,0,1
665775,9993,away,3,lose,3,4,3,1,2,1,0,1,1,2,0,1,2,0,1,0,1
674264,9789,home,1,win,4,4,2,1,0,1,3,0,2,2,0,1,1,0,0,1,1
674266,8177,home,1,win,2,2,1,6,1,0,1,1,0,1,0,1,0,3,2,1,1
674268,8165,away,1,lose,2,4,2,3,0,0,2,0,2,2,0,1,1,1,1,1,1
674273,8178,home,1,win,1,0,2,8,0,0,1,0,0,0,0,1,1,4,1,3,1
674274,9789,home,3,lose,4,4,2,1,0,1,3,0,2,2,0,1,1,0,0,1,1
674278,8722,away,2,lose,2,3,2,4,2,0,0,1,1,1,2,0,0,1,2,1,1
674280,8177,home,1,lose,2,2,1,6,1,0,1,0,0,2,0,1,0,3,2,1,1
674288,9823,home,1,lose,5,3,1,2,2,1,2,1,1,1,1,0,0,1,0,1,1
674291,9911,home,1,lose,5,4,0,2,2,1,2,1,0,3,0,0,0,2,0,0,1
674292,8722,home,2,lose,2,3,4,2,2,0,0,1,1,1,3,1,0,1,1,0,1
674295,8358,away,1,win,4,3,2,2,0,3,1,0,0,3,1,0,1,2,0,0,1
674297,8226,away,1,win,5,2,0,4,1,3,1,1,0,1,0,0,0,2,1,1,1
674299,10269,home,2,lose,3,2,5,1,3,0,0,0,2,0,4,1,0,0,1,0,1
674300,9789,away,4,lose,6,3,2,0,1,1,4,0,1,2,0,1,1,0,0,0,1
674304,8722,away,1,lose,0,4,3,4,0,0,0,1,1,2,2,1,0,1,2,1,1
674305,8165,home,1,win,4,3,2,2,1,1,2,0,0,3,0,1,1,0,1,1,1
674306,8177,home,1,lose,1,4,1,5,0,1,0,0,0,4,0,1,0,2,2,1,1
674308,8165,home,1,lose,3,5,1,2,1,0,2,0,1,4,0,0,1,0,1,1,1
674312,10189,away,1,lose,3,3,2,3,2,1,0,1,1,1,0,1,1,0,3,0,1
674317,9790,home,1,win,2,3,4,2,2,0,0,2,0,1,1,1,2,1,0,1,1
674318,10189,away,1,win,3,3,2,3,1,1,1,1,1,1,0,1,1,0,2,1,1
674323,8178,away,1,win,0,0,3,8,0,0,0,0,0,0,0,2,1,4,1,3,1
674327,9911,away,1,win,5,4,0,2,2,2,1,1,1,2,0,0,0,1,1,0,1
674328,8177,home,4,lose,3,2,0,6,2,0,1,0,0,2,0,0,0,2,2,2,1
674332,8177,away,2,lose,2,2,1,6,1,0,1,0,0,2,1,0,0,2,2,2,1
674336,8226,home,1,lose,4,2,1,4,1,3,0,1,0,1,0,1,0,3,1,0,1
674337,9789,away,1,win,5,3,3,0,1,1,3,0,2,1,1,1,1,0,0,0,1
674340,10269,away,1,lose,2,3,6,0,2,0,0,0,3,0,3,2,1,0,0,0,1
